SOLD DATE,ADDRESS,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,LATITUDE,LONGITUDE
August-6-2020,3137 NE 31st Ave,97212,1250000,5,3,ALAMEDA,3544,4791,2015,14,353,0,45.5458832,-122.6340174
May-14-2020,7312 SE Taylor St,97215,840000,4,3.5,PORTLAND SOUTHEAST,3550,4791,2007,98,237,0,45.5151103,-122.5871235
March-31-2020,3612 SE Crystal Springs Blvd,97202,1150000,3,2,EASTMORELAND,3551,28314,1945,142,324,0,45.4646419,-122.6258179
July-30-2020,3943 SE Cooper St,97202,875000,4,3,EASTMORELAND,3562,8712,1959,21,246,0,45.4741422,-122.6214568
April-22-2020,2506 NE 47th Ave,97213,1115000,4,4,GRANT PARK,3563,6098,1927,120,313,0,45.5407622,-122.6146981
June-26-2020,2825 NW Raleigh St,97210,1530000,4,4,RALEIGH HILLS,3566,4791,1917,55,429,0,45.5340547,-122.709387
July-29-2020,2129 NE Knott St,97212,925000,4,3,IRVINGTON,3566,10018,1951,22,259,0,45.5423161,-122.6434893
May-29-2020,2654 NW Overton St,97210,1850000,5,4,ALPHABET DISTRICT,3569,4791,2017,83,518,0,45.53157,-122.7058999
July-10-2020,1129 SW 20th Ave,97205,949000,6,4,GRANT PARK,3571,5662,1890,41,266,0,45.519568,-122.694492
April-8-2020,3711 SE Carlton St,97202,1058000,4,2.5,EASTMORELAND,3574,11325,1923,134,296,0,45.4780536,-122.6246245
June-22-2020,4307 SE Oak St,97215,950000,3,2.5,LAURELHURST,3582,7405,1926,59,265,0,45.5204605,-122.6180489
May-21-2020,121 NW 48th Ave,97210,1140000,5,3.5,WEST PORTLAND,3593,22651,1956,91,317,0,45.5200796,-122.7280644
June-4-2020,1100 SE 84th Ave,97216,471600,4,2,PORTLAND SOUTHEAST,3600,6969,1920,77,131,0,45.5152872,-122.5768015
March-13-2020,1014 SE 50th Ave,97215,625000,5,2,MT TABOR,3600,5662,1910,160,174,0,45.5157632,-122.6109031
August-19-2020,7936 SE 27th Ave,97202,749500,4,3,EASTMORELAND,3600,7840,1926,1,208,0,45.4674311,-122.635052
February-28-2020,6020 SE 34th Ave,97202,1250000,4,3.5,EASTMORELAND,3600,4356,2013,174,347,0,45.4789303,-122.6279772
July-31-2020,4665 NW Seblar Ter,97210,875000,3,3,NORTHWEST,3615,12632,1981,20,242,0,45.522409,-122.7258045
June-11-2020,4131 SW Hillsdale Ave,97239,1100000,4,3,COUNCIL CREST,3616,15681,1952,70,304,0,45.4934575,-122.7030815
June-1-2020,3652 SE Oak St,97214,948700,3,2.5,LAURELHURST,3639,12632,1924,80,261,0,45.5200089,-122.6261684
March-23-2020,1804 SW Mount Hood Ln,97239,1003000,3,3,COUNCIL CREST,3640,10454,1989,150,276,0,45.4947427,-122.6972853
March-17-2020,3426 SE Glenwood St,97202,1000000,4,3.5,PORTLAND SOUTHEAST,3652,7405,1926,156,274,0,45.4743289,-122.6276062
April-16-2020,817 NE Prescott St,97211,750000,5,2.5,KING,3652,4356,2012,126,205,0,45.5556974,-122.6571649
May-22-2020,2630 SW Davenport Ln,97201,731000,5,2.5,RALEIGH HILLS,3661,8712,1962,90,200,0,45.5049191,-122.6896417
July-10-2020,3016 NE 19th Ave,97212,915000,4,3,IRVINGTON,3673,4791,1911,41,249,0,45.544644,-122.645976
July-30-2020,3124 NE 15th Ave,97212,1077500,4,3.5,IRVINGTON,3675,4791,1917,21,293,0,45.5456158,-122.6501298
March-12-2020,1915 SE 29th Ave,97214,1015000,3,3,HOSFORD ABERNETHY,3676,5662,1915,161,276,0,45.50951,-122.636477
May-29-2020,4548 N Michigan Ave,97217,588000,5,2,PORTLAND NORTH,3679,7405,1915,83,160,0,45.5561725,-122.6767258
July-31-2020,3111 NE 57th Ave,97213,664000,3,2,PORTLAND NORTHEAST,3691,7405,1912,20,180,0,45.545566,-122.604885
July-10-2020,2777 SW Roswell Ave,97201,1185000,4,2.5,PORTLAND HEIGHTS,3702,5227,2002,41,320,0,45.5036989,-122.7063758
July-30-2020,3524 SE Stark St,97214,696900,5,4.5,LAURELHURST,3702,4791,1924,21,188,0,45.5191126,-122.6278037
July-15-2020,4536 SE Brooklyn St,97206,910000,5,3.5,RICHMOND,3706,7840,1980,36,246,0,45.5008273,-122.6153884
June-18-2020,2611 SE Harrison St,97214,1150000,5,3.5,COLONIAL HEIGHTS,3723,4356,1922,63,309,0,45.5086703,-122.6392277
July-17-2020,6039 NE 32nd Ave,97211,766000,5,2.5,CONCORDIA,3728,4791,1911,34,205,0,45.5670285,-122.6330842
April-24-2020,4132 NE Royal Ct,97232,925000,6,4,LAURELHURST,3730,5227,1923,118,248,0,45.5285504,-122.6201152
April-1-2020,3435 NW Thurman St,97210,724500,5,1.5,WILLAMETTE HEIGHTS,3752,4791,1905,141,193,0,45.536664,-122.7177813
